code|has_trump_as_president
AFG|False
NLD|False
ANT|False
ALB|False
DZA|False
ASM|False
AND|False
AGO|False
AIA|False
ATG|False
ARE|False
ARG|False
ARM|False
ABW|False
AUS|False
AZE|False
BHS|False
BHR|False
BGD|False
BRB|False
BEL|False
BLZ|False
BEN|False
BMU|False
BTN|False
BOL|False
BIH|False
BWA|False
BRA|False
GBR|False
VGB|False
BRN|False
BGR|False
BFA|False
BDI|False
CYM|False
CHL|False
COK|False
CRI|False
DJI|False
DMA|False
DOM|False
ECU|False
EGY|False
SLV|False
ERI|False
ESP|False
ZAF|False
ETH|False
FLK|False
FJI|False
PHL|False
FRO|False
GAB|False
GMB|False
GEO|False
GHA|False
GIB|False
GRD|False
GRL|False
GLP|False
GUM|False
GTM|False
GIN|False
GNB|False
GUY|False
HTI|False
HND|False
HKG|False
SJM|False
IDN|False
IND|False
IRQ|False
IRN|False
IRL|False
ISL|False
ISR|False
ITA|False
TMP|False
AUT|False
JAM|False
JPN|False
YEM|False
JOR|False
CXR|False
YUG|False
KHM|False
CMR|False
CAN|False
CPV|False
KAZ|False
KEN|False
CAF|False
CHN|False
KGZ|False
KIR|False
COL|False
COM|False
COG|False
COD|False
CCK|False
PRK|False
KOR|False
GRC|False
HRV|False
CUB|False
KWT|False
CYP|False
LAO|False
LVA|False
LSO|False
LBN|False
LBR|False
LBY|False
LIE|False
LTU|False
LUX|False
ESH|False
MAC|False
MDG|False
MKD|False
MWI|False
MDV|False
MYS|False
MLI|False
MLT|False
MAR|False
MHL|False
MTQ|False
MRT|False
MUS|False
MYT|False
MEX|False
FSM|False
MDA|False
MCO|False
MNG|False
MSR|False
MOZ|False
MMR|False
NAM|False
NRU|False
NPL|False
NIC|False
NER|False
NGA|False
NIU|False
NFK|False
NOR|False
CIV|False
OMN|False
PAK|False
PLW|False
PAN|False
PNG|False
PRY|False
PER|False
PCN|False
MNP|False
PRT|False
PRI|False
POL|False
GNQ|False
QAT|False
FRA|False
GUF|False
PYF|False
REU|False
ROM|False
RWA|False
SWE|False
SHN|False
KNA|False
LCA|False
VCT|False
SPM|False
DEU|False
SLB|False
ZMB|False
WSM|False
SMR|False
STP|False
SAU|False
SEN|False
SYC|False
SLE|False
SGP|False
SVK|False
SVN|False
SOM|False
LKA|False
SDN|False
FIN|False
SUR|False
SWZ|False
CHE|False
SYR|False
TJK|False
TWN|False
TZA|False
DNK|False
THA|False
TGO|False
TKL|False
TON|False
TTO|False
TCD|False
CZE|False
TUN|False
TUR|False
TKM|False
TCA|False
TUV|False
UGA|False
UKR|False
HUN|False
URY|False
NCL|False
NZL|False
UZB|False
BLR|False
WLF|False
VUT|False
VAT|False
VEN|False
RUS|False
VNM|False
EST|False
USA|True
VIR|False
ZWE|False
PSE|False
ATA|False
BVT|False
IOT|False
SGS|False
HMD|False
ATF|False
UMI|False
